Date,1_1,1_2,1_3,1_4,1_5,1_6
26/11/2010,18820.29,45681.98,10706.81,46201.27,46201.27,
3/12/2010,22517.56,44405.02,10856.85,37110.55,37110.55,
10/12/2010,31497.65,46955.82,11219.78,36364.31,36364.31,
17/12/2010,44912.86,49303.28,11986.84,39154.41,39154.41,
24/12/2010,55931.23,59889.32,12080.36,47893.23,47893.23,
31/12/2010,19124.58,35819.83,8266.14,36913.8,36913.8,
7/1/2011,15984.24,43202.29,15808.15,37947.8,37947.8,
14/1/2011,17359.7,39857.4,13275.87,34393.95,34393.95,
21/1/2011,17341.47,41596.99,12532.94,33735.58,33735.58,
28/1/2011,18461.18,41651.01,11983.34,32905.88,32905.88,
4/2/2011,21665.76,46829.12,11012.52,35870.49,35870.49,
11/2/2011,37887.17,47595.35,11428.25,37373.33,37373.33,
18/2/2011,46845.87,49202.06,11724.98,36479.25,36479.25,
25/2/2011,19363.83,46165.25,10473.78,33677.18,33677.18,
4/3/2011,20327.61,53035.54,11039.12,37943.96,37943.96,
11/3/2011,21280.4,48465.72,10689.97,35229.12,35229.12,
18/3/2011,20334.23,45222.3,8148.69,34863.03,34863.03,
25/3/2011,20881.1,44293.54,9049.02,34813.12,34813.12,
1/4/2011,20398.09,46991.58,8734.19,34451.9,34451.9,
8/4/2011,23873.79,48501.79,10417.33,36514.43,36514.43,
15/4/2011,28762.37,44464.74,8212.97,33466.89,33466.89,
22/4/2011,50510.31,46544.56,8468.72,35132.7,35132.7,
29/4/2011,41512.39,43682.41,8653.62,34528.56,34528.56,
6/5/2011,20138.19,50139.92,10420.92,37827.69,37827.69,
13/5/2011,17235.15,44274.15,8732.46,33471.81,33471.81,
20/5/2011,15136.78,44302.11,7939.01,34137.41,34137.41,
27/5/2011,15741.6,45072.11,8120.7,36790.72,36790.72,
3/6/2011,16434.15,47844.27,8853.89,42508.02,42508.02,
10/6/2011,15883.52,46363.93,7508.71,35376.06,35376.06,
17/6/2011,14978.09,42939.63,7658.75,35523.17,35523.17,
24/6/2011,15682.81,42415.81,6165.73,35062.02,35062.02,
1/7/2011,15363.5,45247.74,8070.64,36451.71,36451.71,
8/7/2011,16148.87,44623.23,7366.5,39149.99,39149.99,
15/7/2011,15654.85,43260.96,11578.11,33930.8,33930.8,
22/7/2011,15766.6,45113.56,16069.5,34630.02,34630.02,
29/7/2011,15922.41,43191.02,21331.51,35555.5,35555.5,
5/8/2011,15295.55,49359.75,31248.98,39339.09,39339.09,
12/8/2011,14539.79,45341.92,32148.93,37449.94,37449.94,
19/8/2011,14689.24,46391.12,41603.11,39148.87,39148.87,
26/8/2011,14537.37,47659.93,49775.52,37495.2,37495.2,
2/9/2011,15277.27,49419.75,19604.47,36589.07,36589.07,
9/9/2011,17746.68,43315.85,12778.28,35105.96,35105.96,
16/9/2011,18535.48,42963.96,10412.88,34108.12,34108.12,
23/9/2011,17859.3,43390.94,9755.56,32655.07,32655.07,
30/9/2011,18337.68,46045.09,10434.83,32830.81,32830.81,
7/10/2011,20797.58,49880.69,9977.96,37397.63,37397.63,
14/10/2011,23077.55,43306.38,9870.22,35000.3,35000.3,
21/10/2011,23351.8,42487.67,10136.78,33954.55,33954.55,
28/10/2011,31579.9,41682.4,9421.2,34247.26,34247.26,
4/11/2011,39886.06,47313.62,9189.2,39354.84,39354.84,
11/11/2011,18689.54,44936.47,9959.64,36826.52,36826.52,
18/11/2011,19050.66,43997.78,10104.36,37656.58,37656.58,
25/11/2011,20911.25,44259.59,9317.56,46564.14,46564.14,
2/12/2011,25293.49,45928.14,10146.54,38489.63,38489.63,
9/12/2011,33305.92,49357.43,12955.55,38729.31,38729.31,
16/12/2011,45773.03,51137.42,13180.05,38266.47,38266.47,
23/12/2011,46788.75,65615.36,13667.88,47785.93,47785.93,
30/12/2011,23350.88,43539.94,8848.44,37371.22,37371.22,
6/1/2012,16567.69,44481.38,13926.04,40925.76,40925.76,
13/1/2012,16894.4,43353.09,13822.49,36582.36,36582.36,
20/1/2012,18365.1,43753.43,11702.08,33780.2,33780.2,
27/1/2012,18378.16,41556.23,10613.17,33613.91,33613.91,
3/2/2012,23510.49,54322.24,12485.78,40274.83,40274.83,
10/2/2012,36988.49,50581.06,12388.85,39305.13,39305.13,
17/2/2012,54060.1,46085.47,10237.78,36550.46,36550.46,
24/2/2012,20124.22,47080.12,10502.4,34953.85,34953.85,
2/3/2012,20113.03,52608.51,11387.31,38459.98,38459.98,
9/3/2012,21140.07,48563.69,11925.71,38934.77,38934.77,
16/3/2012,22366.88,47346.32,8845.73,38125.32,38125.32,
23/3/2012,22107.7,44796.03,7910.22,36586.52,36586.52,
30/3/2012,28952.86,46529.68,9129.23,37718.51,37718.51,
6/4/2012,57592.12,51805.88,9335.24,42060.21,42060.21,
13/4/2012,34684.21,43991.18,7927.73,37449.26,37449.26,
20/4/2012,16976.19,45561.85,8647.36,36350.03,36350.03,
27/4/2012,16347.6,45456.23,8635.62,36894.54,36894.54,
4/5/2012,17147.44,50501.3,10655.35,41897.55,41897.55,
11/5/2012,18164.2,46717.76,10342.72,35840.06,35840.06,
18/5/2012,18517.79,44411.23,8609.82,34536.29,34536.29,
25/5/2012,16963.55,45817.07,8345.33,38270.34,38270.34,
1/6/2012,16065.49,47425.29,7175.77,41566.55,41566.55,
8/6/2012,17666,49439.58,8614.64,41124.27,41124.27,
15/6/2012,17558.82,46637.48,8016.26,39019.74,39019.74,
22/6/2012,16633.41,46075,7301.41,37400.31,37400.31,
29/6/2012,15722.82,47629.14,7577.59,39758.77,39758.77,
6/7/2012,17823.37,49771.92,8473.71,44936.96,44936.96,
13/7/2012,16566.18,44411.95,13126.15,38073.91,38073.91,
20/7/2012,16348.06,45108.22,20126.95,38080.05,38080.05,
27/7/2012,15731.18,45008.22,22716.7,35197.59,35197.59,
3/8/2012,16628.31,49424.06,30331.69,41305.39,41305.39,
10/8/2012,16119.92,46729.91,28257.3,40343.83,40343.83,
17/8/2012,17330.7,46350.97,31905.97,38105.9,38105.9,
24/8/2012,16286.4,44972.52,43712.78,36674.67,36674.67,
31/8/2012,16680.24,50995.5,50701.3,37802.97,37802.97,
7/9/2012,18322.37,47344.5,18368.51,39549.27,39549.27,
14/9/2012,19616.22,44493.61,14288.22,35044.06,35044.06,
21/9/2012,19251.5,43541.07,13403.63,34507.34,34507.34,
28/9/2012,18947.81,45784.76,13085.95,34647.33,34647.33,
5/10/2012,21904.47,48577.08,11676.98,39311.93,39311.93,
12/10/2012,22764.01,42112.67,10487.17,35446.18,35446.18,
19/10/2012,24185.27,42354.72,8548.87,35549.19,35549.19,
26/10/2012,27390.81,43134.88,9350.9,36292.6,36292.6,
